11.2168 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1146a1bd0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.2169 	EXP 	window1: recordFrameIntervals = False
11.3825 	EXP 	window1: recordFrameIntervals = True
11.4700 	WARNING 	t of last frame was 20.76ms (=1/48)
11.5068 	WARNING 	t of last frame was 24.45ms (=1/40)
11.5700 	WARNING 	t of last frame was 21.39ms (=1/46)
11.6024 	WARNING 	t of last frame was 20.08ms (=1/49)
11.6377 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.0157 	EXP 	window1: recordFrameIntervals = False
12.1715 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'wait for the flash\n\nyellow < or > white', units=u'norm', win=Window(...), wrapWidth=1)
12.1809 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
12.1813 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
12.1815 	EXP 	New trial (rep=0, index=0): None
12.1853 	EXP 	window1: blendMode = 'avg'
12.2051 	EXP 	text: autoDraw = True
12.2070 	EXP 	window1: blendMode = 'avg'
12.2176 	EXP 	window1: blendMode = 'avg'
12.2331 	EXP 	window1: blendMode = 'avg'
12.2491 	EXP 	window1: blendMode = 'avg'
12.2663 	EXP 	window1: blendMode = 'avg'
12.2830 	EXP 	window1: blendMode = 'avg'
12.3002 	EXP 	window1: blendMode = 'avg'
12.3163 	EXP 	window1: blendMode = 'avg'
12.3330 	EXP 	window1: blendMode = 'avg'
12.3495 	EXP 	window1: blendMode = 'avg'
12.3669 	EXP 	window1: blendMode = 'avg'
12.3829 	EXP 	window1: blendMode = 'avg'
12.3994 	EXP 	window1: blendMode = 'avg'
12.4164 	EXP 	window1: blendMode = 'avg'
12.4330 	EXP 	window1: blendMode = 'avg'
12.4496 	EXP 	window1: blendMode = 'avg'
12.4674 	EXP 	window1: blendMode = 'avg'
12.4825 	EXP 	window1: blendMode = 'avg'
12.4993 	EXP 	window1: blendMode = 'avg'
12.5169 	EXP 	window1: blendMode = 'avg'
12.5332 	EXP 	window1: blendMode = 'avg'
12.5504 	EXP 	window1: blendMode = 'avg'
12.5660 	EXP 	window1: blendMode = 'avg'
12.5836 	EXP 	window1: blendMode = 'avg'
12.5992 	EXP 	window1: blendMode = 'avg'
12.6162 	EXP 	window1: blendMode = 'avg'
12.6332 	EXP 	window1: blendMode = 'avg'
12.6498 	EXP 	window1: blendMode = 'avg'
12.6661 	EXP 	window1: blendMode = 'avg'
12.6832 	EXP 	window1: blendMode = 'avg'
12.6996 	EXP 	window1: blendMode = 'avg'
12.7170 	EXP 	window1: blendMode = 'avg'
12.7328 	EXP 	window1: blendMode = 'avg'
12.7508 	EXP 	window1: blendMode = 'avg'
12.7662 	EXP 	window1: blendMode = 'avg'
12.7861 	EXP 	window1: blendMode = 'avg'
12.7996 	EXP 	window1: blendMode = 'avg'
12.8204 	EXP 	window1: blendMode = 'avg'
12.8328 	EXP 	window1: blendMode = 'avg'
12.8532 	EXP 	window1: blendMode = 'avg'
12.8662 	EXP 	window1: blendMode = 'avg'
